"","CIlo","Probability","CIhi","Sp","Species","Age","Type"
"26",8.78403576494623e-05,0.00751003233877009,0.100664346439643,"1","bearded",25,"Survival"
"27",2.88564654963972e-05,0.00420552291372464,0.0774861534223007,"1","bearded",26,"Survival"
"28",8.38892613469523e-06,0.00221965032019279,0.0580219536866793,"1","bearded",27,"Survival"
"29",2.13952986854723e-06,0.00109615726157043,0.0419292983353081,"1","bearded",28,"Survival"
"30",4.7447327815975e-07,0.000504263289623705,0.028967445808907,"1","bearded",29,"Survival"
"31",9.06611557807103e-08,0.000216166126126991,0.0192837586774998,"1","bearded",30,"Survival"
"32",1.47872530746107e-08,8.6962884743363e-05,0.0123400187064757,"1","bearded",31,"Survival"
"33",2.03920625723962e-09,3.2256930932805e-05,0.0075719179978263,"1","bearded",32,"Survival"
"34",2.35454177269651e-10,1.09819786974196e-05,0.00444380153189037,"1","bearded",33,"Survival"
"35",2.25374030241567e-11,3.4158233089257e-06,0.00248784890775206,"1","bearded",34,"Survival"
"36",1.77032195419583e-12,9.66100314366767e-07,0.00132508830764708,"1","bearded",35,"Survival"
"37",1.12945282073781e-13,2.47277719902459e-07,0.000669601817776639,"1","bearded",36,"Survival"
"38",5.79139454351538e-15,5.70007073631649e-08,0.000320115832124223,"1","bearded",37,"Survival"
"39",2.36123283573875e-16,1.16614468019148e-08,0.000144361685467899,"1","bearded",38,"Survival"
"40",7.57141764372084e-18,2.08239687177077e-09,6.12285261332756e-05,"1","bearded",39,"Survival"
"41",0.270820596422981,0.515502952183224,0.703143069655023,"2","ribbon",0,"Survival"
"42",0.208340093794795,0.452597985990886,0.655168652521263,"2","ribbon",1,"Survival"
"43",0.174123767079988,0.413737672591444,0.62424355287899,"2","ribbon",2,"Survival"
"44",0.150911709211962,0.385142394852427,0.60062850303113,"2","ribbon",3,"Survival"
"45",0.133261655591111,0.361884092349481,0.580828898476495,"2","ribbon",4,"Survival"
"46",0.118723859848971,0.341528863175273,0.56303392647847,"2","ribbon",5,"Survival"
"47",0.105978095257954,0.322606905724433,0.546082366741444,"2","ribbon",6,"Survival"
"48",0.0942460798462073,0.304116753719228,0.529120132083602,"2","ribbon",7,"Survival"
"49",0.0830658567066803,0.285508277726456,0.511466074369057,"2","ribbon",8,"Survival"
"50",0.072194903559615,0.266372904604012,0.492558442356606,"2","ribbon",9,"Survival"
"51",0.061562859989426,0.24609359498297,0.471938796227234,"2","ribbon",10,"Survival"
"52",0.0512400566242591,0.224510514923049,0.449255670125689,"2","ribbon",11,"Survival"
"53",0.0414048017570489,0.201662720160638,0.424611236616921,"2","ribbon",12,"Survival"
"54",0.032301349738871,0.177796685294624,0.397756240080121,"2","ribbon",13,"Survival"
"55",0.0241878327720277,0.153359739361467,0.368554386101939,"2","ribbon",14,"Survival"
"56",0.0172803473223122,0.128970129243387,0.337224592940822,"2","ribbon",15,"Survival"
"57",0.0117045609395817,0.105395623932267,0.304164633854279,"2","ribbon",16,"Survival"
"58",0.0074674069541203,0.0829668292046392,0.269943410590849,"2","ribbon",17,"Survival"
"59",0.00445719964311312,0.0626989763416471,0.235275943309641,"2","ribbon",18,"Survival"
"60",0.00247174228707742,0.0454259225394461,0.20097991520958,"2","ribbon",19,"Survival"
"61",0.0012643755497306,0.0316856918869174,0.167915589450247,"2","ribbon",20,"Survival"
"62",0.0005922183773552,0.0212008734234184,0.136914344571713,"2","ribbon",21,"Survival"
"63",0.000252084379866633,0.0135334971200872,0.108704260339334,"2","ribbon",22,"Survival"
"64",9.67660347596358e-05,0.00819153649891498,0.0838432568973493,"2","ribbon",23,"Survival"
"65",3.32353057578856e-05,0.00461088683708972,0.0626704297802387,"2","ribbon",24,"Survival"
"66",1.01319771368067e-05,0.00240976028597437,0.045283974743367,"2","ribbon",25,"Survival"
"67",2.71925670173643e-06,0.00116854477237767,0.0315496308357713,"2","ribbon",26,"Survival"
"68",6.37126182384283e-07,0.000526092022070176,0.0211377872857854,"2","ribbon",27,"Survival"
"69",1.29203402201785e-07,0.000218544712034771,0.0135817586840862,"2","ribbon",28,"Survival"
"70",2.24761941768037e-08,8.29905391628354e-05,0.00834581557167429,"2","ribbon",29,"Survival"
"71",3.32311810958881e-09,2.85783384318745e-05,0.0048905024104751,"2","ribbon",30,"Survival"
"72",4.13559369371956e-10,8.83999627567253e-06,0.00272481944985209,"2","ribbon",31,"Survival"
"73",3.89364333727272e-11,2.45386913156181e-06,0.00143920513401681,"2","ribbon",32,"Survival"
"74",2.86912110864208e-12,6.07397039685733e-07,0.000718430299842883,"2","ribbon",33,"Survival"
"75",1.67402608636426e-13,1.33195796245627e-07,0.000337890919017663,"2","ribbon",34,"Survival"
"76",7.62641763255962e-15,2.57050628207722e-08,0.000149389665112292,"2","ribbon",35,"Survival"
"77",2.67408188298228e-16,4.33623068784075e-09,6.21246058576315e-05,"2","ribbon",36,"Survival"
"78",7.1105664057079e-18,6.34995938740803e-10,2.41222499297196e-05,"2","ribbon",37,"Survival"
"79",1.41227653395882e-19,8.01567837809768e-11,8.59384381136114e-06,"2","ribbon",38,"Survival"
"80",2.06283652989808e-21,8.6599497082962e-12,2.77530235869734e-06,"2","ribbon",39,"Survival"
"81",0.440608450878742,0.638598954707978,0.816987154329686,"3","ringed",0,"Survival"
"82",0.373993305328962,0.583822551893086,0.78499054448482,"3","ringed",1,"Survival"
"83",0.334216780932719,0.549211420223288,0.763949645446899,"3","ringed",2,"Survival"
"84",0.305481074700254,0.523199186576435,0.747652455600138,"3","ringed",3,"Survival"
"85",0.282466470441826,0.501708910986889,0.733820190005431,"3","ringed",4,"Survival"
"86",0.262609842267209,0.482677323060609,0.721235850583948,"3","ringed",5,"Survival"
"87",0.244413323425034,0.464820608678097,0.709086113686349,"3","ringed",6,"Survival"
"88",0.226899999207695,0.447226921043703,0.696740693666948,"3","ringed",7,"Survival"
"89",0.209406659076785,0.429196339335877,0.683663954124076,"3","ringed",8,"Survival"
"90",0.191502586897739,0.410175826227312,0.669377855662666,"3","ringed",9,"Survival"
"91",0.172961776313483,0.389737560006932,0.653448971236771,"3","ringed",10,"Survival"
"92",0.15375638806411,0.367047614719579,0.63548873458696,"3","ringed",11,"Survival"
"93",0.134052830988286,0.341467663116355,0.615161918638621,"3","ringed",12,"Survival"
"94",0.114197430836638,0.313844976982212,0.592200525809185,"3","ringed",13,"Survival"
"95",0.0946827068793497,0.284080240237208,0.566421006244117,"3","ringed",14,"Survival"
"96",0.0760903906608688,0.252847286652607,0.537742815241631,"3","ringed",15,"Survival"
"97",0.0590141449378863,0.220969140679193,0.506206139415028,"3","ringed",16,"Survival"
"98",0.0439725449151715,0.189186031057219,0.471986370873928,"3","ringed",17,"Survival"
"99",0.0313290211625108,0.158313741902956,0.435402746581317,"3","ringed",18,"Survival"
"100",0.0212373470836457,0.128842217602947,0.396918631772575,"3","ringed",19,"Survival"
"101",0.0136269297837579,0.101745179380447,0.357131325379402,"3","ringed",20,"Survival"
"102",0.00823197074615333,0.0777947677448482,0.316791968997497,"3","ringed",21,"Survival"
"103",0.0046557457332229,0.057419365175088,0.276700840128653,"3","ringed",22,"Survival"
"104",0.00245094845908666,0.0407829856620821,0.237613160497929,"3","ringed",23,"Survival"
"105",0.00119378820888883,0.0277846516350349,0.200327951616329,"3","ringed",24,"Survival"
"106",0.000534646621829874,0.0180959549237589,0.165573576277242,"3","ringed",25,"Survival"
"107",0.000218756760686459,0.0112281446434146,0.133957426376508,"3","ringed",26,"Survival"
"108",8.12327883688871e-05,0.00661362420879933,0.105924825086765,"3","ringed",27,"Survival"
"109",2.71899949517823e-05,0.00371846240950274,0.081732444501165,"3","ringed",28,"Survival"
"110",8.14594137445475e-06,0.00197801027413189,0.0614398232372458,"3","ringed",29,"Survival"
"111",2.16865037351598e-06,0.00098770181631016,0.0449200592547771,"3","ringed",30,"Survival"
"112",5.09251551529185e-07,0.000461059010741137,0.0318878930751185,"3","ringed",31,"Survival"
"113",1.04680676938925e-07,0.000200766778669268,0.0219407667388374,"3","ringed",32,"Survival"
"114",1.86899791162827e-08,8.12216159700262e-05,0.0146066200448861,"3","ringed",33,"Survival"
"115",2.87539648746715e-09,3.04013990814983e-05,0.00939157474190005,"3","ringed",34,"Survival"
"116",3.78089972627724e-10,1.04730339514847e-05,0.00582136976673989,"3","ringed",35,"Survival"
"117",4.2139355741041e-11,3.29138682386511e-06,0.00347221922334935,"3","ringed",36,"Survival"
"118",3.94719917246199e-12,9.41104527416808e-07,0.00198917231662482,"3","ringed",37,"Survival"
"119",3.08062650908199e-13,2.41751995590668e-07,0.00109671894193007,"3","ringed",38,"Survival"
"120",1.98566628844916e-14,5.60087417940413e-08,0.000578983157314412,"3","ringed",39,"Survival"
"121",0.235184021712047,0.442163450016217,0.656795649769044,"4","spotted",0,"Survival"
"122",0.176752861616206,0.375183822034725,0.604686250272583,"4","spotted",1,"Survival"
"123",0.145453822039314,0.335465722146315,0.571601648075444,"4","spotted",2,"Survival"
"124",0.12455209917142,0.30687734297373,0.546617607014444,"4","spotted",3,"Survival"
"125",0.108859656242895,0.284011968539738,0.52585332493862,"4","spotted",4,"Survival"
"126",0.096072261818679,0.264269348855733,0.507315285627453,"4","spotted",5,"Survival"
"127",0.0849632574210888,0.246135937734861,0.489735461418907,"4","spotted",6,"Survival"
"128",0.0748189140237141,0.228631509233694,0.472189157956446,"4","spotted",7,"Survival"
"129",0.0652231183460275,0.211098141253319,0.453947197218067,"4","spotted",8,"Survival"
"130",0.0559651276307165,0.193116668332478,0.434419045068262,"4","spotted",9,"Survival"
"131",0.0469938189576825,0.174476577826423,0.413138349456461,"4","spotted",10,"Survival"
"132",0.0383856535558346,0.1551666570994,0.389770704994825,"4","spotted",11,"Survival"
"133",0.030310040626534,0.135367818131902,0.364132907277524,"4","spotted",12,"Survival"
"134",0.0229851145515885,0.115435567961827,0.336215983989224,"4","spotted",13,"Survival"
